Games, Year, City-Country, Continent
1,1896,Athens - Greece,Europe
2,1900, Paris - France, Europe
3,1904, St. Louis - United States, North America
4,1908, London - United Kingdom, Europe
5,1912, Stockholm - Sweden, Europe
6,1920, Antwerp - Belgium, Europe
7,1924, Paris - France, Europe
8,1928, Amsterdam - Netherlands, Europe
9,1932, Los Angeles - United States, North America
10,1936, Berlin - Germany, Europe
11,1948, London - United Kingdom, Europe
12,1952, Helsinki - Finland, Europe
13,1956, Melbourne - Australia, Australia
14,1960, Rome - Italy, Europe
15,1964, Tokyo - Japan, Asia
16,1968, Mexico City - Mexico, North America
17,1972, Munich - West Germany, Europe
18,1976, Montreal - Canada, North America
19,1980, Moscow - Soviet Union, Europe
20,1984, Los Angeles - United States, North America
21,1988, Seoul - South Korea, Asia
22,1992, Barcelona - Spain, Europe
23,1996, Atlanta - United States, North America
24,2000, Sydney - Australia, Australia
25,2004, Athens - Greece, Europe
26,2008, Beijing - China, Asia
27,2012, London - United Kingdom, Europe
28,2016, Rio de Janeiro - Brazil, South America
