"","member_casual","day_of_week","ride_length"
"1","casual","Sunday",316603.523552847
"2","member","Sunday",48374.1164567208
"3","casual","Monday",277291.895040231
"4","member","Monday",56640.1136663152
"5","casual","Tuesday",302157.751390176
"6","member","Tuesday",62246.9618918512
"7","casual","Wednesday",343693.027837259
"8","member","Wednesday",50884.7565247253
"9","casual","Thursday",277812.814950186
"10","member","Thursday",67719.994187173
"11","casual","Friday",326625.913413266
"12","member","Friday",52914.578399885
"13","casual","Saturday",276515.783411323
"14","member","Saturday",52340.7179924214
